#,dates,pressure_differential_m,temperature_stream_C,
1,18/05/2017 12:45:00,0.251232732,14.913,
2,18/05/2017 13:00:00,0.251210825,14.922,
3,18/05/2017 13:15:00,0.251181616,14.934,
4,18/05/2017 13:30:00,0.251167012,14.94,
5,18/05/2017 13:45:00,0.251132935,14.954,
6,18/05/2017 14:00:00,0.251210825,14.922,
7,18/05/2017 14:15:00,0.25094551,15.031,
8,18/05/2017 14:30:00,0.250794598,15.093,
9,18/05/2017 14:45:00,0.250755652,15.109,
10,18/05/2017 15:00:00,0.249884384,15.16,
11,18/05/2017 15:15:00,0.24483298,15.221,
12,18/05/2017 15:30:00,0.23904539,15.29,
13,18/05/2017 15:45:00,0.234384173,15.343,
14,18/05/2017 16:00:00,0.230120498,15.417,
15,18/05/2017 16:15:00,0.226003509,15.494,
16,18/05/2017 16:30:00,0.222191922,15.558,
17,18/05/2017 16:45:00,0.216156674,15.603,
18,18/05/2017 17:00:00,0.2123819,15.655,
19,18/05/2017 17:15:00,0.208961191,15.699,
20,18/05/2017 17:30:00,0.205749426,15.779,
21,18/05/2017 17:45:00,0.202021806,15.821,
22,18/05/2017 18:00:00,0.198929701,15.837,
23,18/05/2017 18:15:00,0.194658242,15.84,
24,18/05/2017 18:30:00,0.191024468,15.87,
25,18/05/2017 18:45:00,0.188042253,15.876,
26,18/05/2017 19:00:00,0.183597404,15.894,
27,18/05/2017 19:15:00,0.203541015,15.924,
28,18/05/2017 19:30:00,0.196347102,16.734,
29,18/05/2017 19:45:00,0.1800131,16.088,
30,18/05/2017 20:00:00,0.174685683,15.661,
31,18/05/2017 20:15:00,0.16852464,15.621,
32,18/05/2017 20:30:00,0.163175844,15.548,
33,18/05/2017 20:45:00,0.157667443,15.457,
34,18/05/2017 21:00:00,0.15469061,15.378,
35,18/05/2017 21:15:00,0.150398679,15.291,
36,18/05/2017 21:30:00,0.145321064,15.205,
37,18/05/2017 21:45:00,0.141638391,15.127,
38,18/05/2017 22:00:00,0.138110453,15.069,
39,18/05/2017 22:15:00,0.134753686,15.018,
40,18/05/2017 22:30:00,0.132273927,14.973,
41,18/05/2017 22:45:00,0.129177308,14.919,
42,18/05/2017 23:00:00,0.125863963,14.865,
43,18/05/2017 23:15:00,0.122738684,14.797,
44,18/05/2017 23:30:00,0.118909325,14.716,
45,18/05/2017 23:45:00,0.11498324,14.631,
46,19/05/2017 00:00:00,0.111481561,14.538,
47,19/05/2017 00:15:00,0.108233635,14.454,
48,19/05/2017 00:30:00,0.104058666,14.358,
49,19/05/2017 00:45:00,0.099966368,14.246,
50,19/05/2017 01:00:00,0.097790659,14.162,
51,19/05/2017 01:15:00,0.093804415,14.09,
52,19/05/2017 01:30:00,0.090779735,14.033,
53,19/05/2017 01:45:00,0.088108285,13.966,
54,19/05/2017 02:00:00,0.085751015,13.948,
55,19/05/2017 02:15:00,0.083819448,13.916,
56,19/05/2017 02:30:00,0.081275052,13.871,
57,19/05/2017 02:45:00,0.078266789,13.826,
58,19/05/2017 03:00:00,0.075577394,13.757,
59,19/05/2017 03:15:00,0.072722533,13.681,
60,19/05/2017 03:30:00,0.070137929,13.608,
61,19/05/2017 03:45:00,0.066718744,13.535,
62,19/05/2017 04:00:00,0.063979317,13.46,
63,19/05/2017 04:15:00,0.061387641,13.386,
64,19/05/2017 04:30:00,0.058721362,13.32,
65,19/05/2017 04:45:00,0.056821224,13.254,
66,19/05/2017 05:00:00,0.054384053,13.204,
67,19/05/2017 05:15:00,0.052669601,13.157,
68,19/05/2017 05:30:00,0.049402328,13.12,
69,19/05/2017 05:45:00,0.048431737,13.072,
70,19/05/2017 06:00:00,0.046441928,13.028,
71,19/05/2017 06:15:00,0.043869709,12.971,
72,19/05/2017 06:30:00,0.042152822,12.925,
73,19/05/2017 06:45:00,0.040914479,12.88,
74,19/05/2017 07:00:00,0.038761709,12.835,
75,19/05/2017 07:15:00,0.037550888,12.799,
76,19/05/2017 07:30:00,0.036434429,12.775,
77,19/05/2017 07:45:00,0.035700552,12.743,
78,19/05/2017 08:00:00,0.033856045,12.726,
79,19/05/2017 08:15:00,0.032970915,12.696,
80,19/05/2017 08:30:00,0.031767396,12.657,
81,19/05/2017 08:45:00,0.031195468,12.66,
82,19/05/2017 09:00:00,0.030238223,12.669,
83,19/05/2017 09:15:00,0.028925044,12.636,
84,19/05/2017 09:30:00,0.028002656,12.601,
85,19/05/2017 09:45:00,0.02718268,12.595,
86,19/05/2017 10:00:00,0.026612494,12.609,
87,19/05/2017 10:15:00,0.026931097,12.639,
88,19/05/2017 10:30:00,0.026925964,12.695,
89,19/05/2017 10:45:00,0.027350194,12.723,
90,19/05/2017 11:00:00,0.026983211,12.716,
91,19/05/2017 11:15:00,0.026490916,12.698,
92,19/05/2017 11:30:00,0.026111158,12.69,
93,19/05/2017 11:45:00,0.025915346,12.69,
94,19/05/2017 12:00:00,0.024967836,12.695,
95,19/05/2017 12:15:00,0.024900907,12.71,
96,19/05/2017 12:30:00,0.025197906,12.752,
97,19/05/2017 12:45:00,0.025872228,12.803,
98,19/05/2017 13:00:00,0.027063098,12.88,
99,19/05/2017 13:15:00,0.028000661,12.965,
100,19/05/2017 13:30:00,0.029013751,13.026,
101,19/05/2017 13:45:00,0.029227173,13.075,
102,19/05/2017 14:00:00,0.030402478,13.117,
103,19/05/2017 14:15:00,0.031242799,13.174,
104,19/05/2017 14:30:00,0.030646283,13.216,
105,19/05/2017 14:45:00,0.030718651,13.255,
106,19/05/2017 15:00:00,0.030720606,13.287,
107,19/05/2017 15:15:00,0.030579908,13.312,
108,19/05/2017 15:30:00,0.03094428,13.356,
109,19/05/2017 15:45:00,0.031306218,13.401,
110,19/05/2017 16:00:00,0.031580102,13.44,
111,19/05/2017 16:15:00,0.033137564,13.539,
112,19/05/2017 16:30:00,0.034517814,13.571,
113,19/05/2017 16:45:00,0.034168352,13.631,
114,19/05/2017 17:00:00,0.035217828,13.638,
115,19/05/2017 17:15:00,0.033490408,13.651,
116,19/05/2017 17:30:00,0.03183807,13.623,
117,19/05/2017 17:45:00,0.031579664,13.637,
118,19/05/2017 18:00:00,0.031610224,13.651,
119,19/05/2017 18:15:00,0.030415039,13.657,
120,19/05/2017 18:30:00,0.030661099,13.684,
121,19/05/2017 18:45:00,0.030686098,13.712,
122,19/05/2017 19:00:00,0.030802279,13.733,
123,19/05/2017 19:15:00,0.030410351,13.73,
124,19/05/2017 19:30:00,0.03024405,13.721,
125,19/05/2017 19:45:00,0.029649699,13.709,
126,19/05/2017 20:00:00,0.028053472,13.697,
127,19/05/2017 20:15:00,0.027270611,13.682,
128,19/05/2017 20:30:00,0.026403942,13.678,
129,19/05/2017 20:45:00,0.025454389,13.669,
130,19/05/2017 21:00:00,0.024833742,13.635,
131,19/05/2017 21:15:00,0.023942695,13.584,
132,19/05/2017 21:30:00,0.022211595,13.529,
133,19/05/2017 21:45:00,0.021102917,13.469,
134,19/05/2017 22:00:00,0.0195588,13.427,
135,19/05/2017 22:15:00,0.01828604,13.336,
